/collections/blush/products/cybele-smooth-nwear-powder-blush,CYBELE SMOOTH N'WEAR POWDER BLUSH,75,Various shades that fit all skin tones with exceptional perfect color uniformity that long lasts to give you an attractive and healthy look.,BB8A76|BRUN; DEA5AA|BOIS DE_ROSE; DA9F95 Orangette; E78075 ROSE TENDRESSE; DD91A8 ROSE COUTURE; F5988A Corail
/collections/compact/products/cybele-compact-foundation,CYBELE COMPACT FOUNDATION,125,"An extremely soft and creamy powder foundation with natural , luminous and smoothing finish thanks to its active ingredients with vital properties.It can be used dry or wet (for maximum coverage).",B18C72 BEIGE; BEA08A HONEY
/collections/compact/products/cybele-smooth-nwear-compact-powder,CYBELE SMOOTH N'WEAR COMPACT POWDER,125,"Experience the exceptional sensation of this skin shaping powder. It gives a smooth, natural feel while imparting a touch of shine to brighten up the skin with exceptional silky finish and sheer perfect coverage.",E9D0C4 nude; ECCCC0 TRANSPARENT; E0B5A6 OPALE; DFB8AB DOREE; D1AD9A CREME; D9B3A2 Medium Beige; E7C9BE Porcelain; E4C4B8 Petal
/collections/concealer/products/cybele-perfect-concealer,CYBELE PERFECT CONCEALER,80,"This creamy, liquid concealer with easy & smooth brush gives full, natural-looking coverage and a soft, radiant finish to hide flaws, blemishes and dark circles perfectly. Blends easily into the skin for a luminous result.",CDB09F OPALE; CDB09E BEIGE; 946A56 GINGER; B18669 AMBER
/collections/concealer/products/cybele-jambo-matic-concealer-new-black,CYBELE JAMBO MATIC CONCEALER NEW BLACK,85,"An anti-dark circle complexion ""perfecter"" that lights up dull areas around your eyes or any dark or Light spots on your skin for a healthy glow. The high-precision concealer increases the anti-fatigue effect and diminishes imperfections. An instant burst of freshness for your eye contour .",E0B49F LIGHT BEIGE; CB9B8B CARAMEL
/collections/concealer/products/cybele-cover-up-concealer-contour,CYBELE COVER UP CONCEALER & CONTOUR,90,"An easy-to-use liquid formula that gives a smooth appearance, unifies skin tone to reveal a radiant appearance",81483A BEIGE CAFE; C01B4E GLAM FUSCHIA; 9B0A14 ROUGE PASSION; A65160 CANDY ROSE; 7A342D BOIS DE ROSE
/collections/customer-favorites/products/cybele-hot-lash-mascara,CYBELE HOT LASH MASCARA,125,A touch of glamour for your lashes with hot lash mascara. A very deep black mascara with a fabulous volume effect to emphasize your beauty and charm.,BB8A76|BRUN; DEA5AA|BOIS DE_ROSE; DA9F95 Orangette; E78075 ROSE TENDRESSE; DD91A8 ROSE COUTURE; F5988A Corail
/collections/customer-favorites/products/cybele-new-dip-liner,CYBELE NEW DIP LINER,105,"Waterproof and long lasting eyeliner, with a high shine effect to give you that charming mysterious look.",F2EBEC White Matte; 312F30 Noir Couture; 939093 Fume; 462F29 Brun; A56C6D Aubergine; 62828E TURQUOISE; 936048 COPPER; A9846C BEIGE
/collections/customer-favorites/products/cybele-liquid-lip-color,CYBELE LIQUID LIP COLOR,65,"Excellent coverage & incomparable brightness with Shine Appeal liquid lipstick. Provides intense moisture with bold, long lasting shine.",1C1C1C BLACK; 263D55 ELECTRIC BLUE; 203638 ELECTRIC GREEN; 27201E BROWN; 1E4555 TURQUOISE; 222960 AQUA MARINE; 20283A DARK BLUE
/collections/eye-shadow/products/cybele-smooth-nwear-mono-eye-shadow,CYBELE SMOOTH N'WEAR MONO EYE SHADOW,60,"Discover an advanced powder eye shadow, so intense and luminous with creamy touch and supreme payoff of pure color. never fades and color lasts for hours .",3E2925 Soft Brown; 796A69 WORM BLONDE; 55443F AUBURN
/collections/eye/products/cybele-kajal-new-black-pencil,CYBELE KAJAL NEW BLACK PENCIL,45,"Excellent coverage and super softness that lasts up to 10 hours.NO Smudge- Fade-Budge.A combination of make-up and care to vitalize, nourish and reduce irritation.",BB8A76|BRUN; DEA5AA|BOIS DE_ROSE; DA9F95 Orangette; E78075 ROSE TENDRESSE; DD91A8 ROSE COUTURE; F5988A Corail
/collections/eye/products/cybele-lush-lash-mascara,CYBELE LUSH LASH MASCARA,85,"Dramatically defines lashes , separating them from root to tip, in addition to lash boosting collagen effect. thanks to its special brush for excellent mascara loading onto lashes and easy definition.",B18C72 BEIGE; BEA08A HONEY
/collections/eye/products/cybele-3d-mascara,CYBELE 3D MASCARA,140,Experience extra volume and sensual thick lashes with its concaved brush to reach all lashes in one stroke. Advanced mascara for magnified depth and volume.,E9D0C4 nude; ECCCC0 TRANSPARENT; E0B5A6 OPALE; DFB8AB DOREE; D1AD9A CREME; D9B3A2 Medium Beige; E7C9BE Porcelain; E4C4B8 Petal
/collections/eye/products/cybele-level-up-mascara,CYBELE LEVEL UP MASCARA,85,Satisfy your desire for flawlessly arched lashes. Build Up to Level Up your ideal lash finish. The arched brush instantly lifts lashes while wrapping even the tiniest of them.,E0B49F LIGHT BEIGE; CB9B8B CARAMEL
/collections/eye/products/cybele-mascara-maxi-volume-shock,CYBELE  MASCARA MAXI VOLUME & SHOCK,150,Enjoy a charming look with maxi volume & shock mascara with its outstanding brush that miraculously volumizes your lashes,AE7664|TRANSPARENT; C59389|PORCELAINE; BD8E77|LUMINEUX
/collections/eye/products/brow-mania-powder-for-brows,BROW MANIA POWDER FOR BROWS,90,Silky powder brow liner that creates an intense powder line with either a natural look or dramatic finish for eyebrows and can also be used as eye shadow.The applicator provides easy handling as well as soft and silky application.,CEAE9F IVORY; CFA88F PINK; D3B4A6 LIGHT BEIGE; C0927B CARAMEL; CEA386 MEDIUM BEIGE; D7AEA1 PETAL
/collections/eye/products/cybele-cozy-eyeliner-gel,CYBELE COZY EYELINER GEL,90,waterproof -High coverage - Long lasting up to 10 hours,B18C72 BEIGE; BEA08A HONEY
/collections/eye/products/eye-brow-new-black-pencil,EYE BROW NEW BLACK PENCIL,70,"Long-Lasting, highly pigmented powder brow liner. Ideal for filling, lengthening and shaping of the eyebrows.",AE7664|TRANSPARENT; C59389|PORCELAINE; BD8E77|LUMINEUX
/collections/face/products/cybele-out-wear-foundation,CYBELE OUT WEAR FOUNDATION,180,Outlasts all expectations with its unique modern fusion of care & cover that lasts up to 16 hours of very high coverage for skin imperfections. It stimulates collagen renewal which restores skin lifting and elasticity.,884C45 OLD PINK; 734134 NUDE; 9B544E PINKY NUDE; A8555C SEXY ROSE; 883F41 CASHMERE; 6A3F40 OLD LILAC; 703235 DARK LILAC; 72262B  DEEP FUCHSIA; 6B2C2D PLUM; 681913 WILD RED; 5D1E1D DARK WINE; 421E1B VIVID BURGUND
